date,Battery (Charging) -  GWh,Coal -  GWh,Bioenergy -  GWh,Distillate -  GWh,Gas -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar -  GWh,Temperature Max - C,Temperature Mean - C,Temperature Min - C,Coal Emissions Vol - tCO₂e,Bioenergy Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Battery (Charging) Market Value - AUD,Coal Market Value - AUD,Bioenergy Market Value - AUD,Distillate Market Value - AUD,Gas Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar Market Value - AUD
2023-04-01,0.00,473.64,7.29,0.04,594.84,0.00,0.00,205.79,281.69,30.80,17.17,5.50,398300.36,544.14,30.83,339060.49,472.04,0.00,42606958.40,622836.88,2503.84,56298574.76,0.00,0.00,16835757.74,9194712.35
2023-05-01,0.00,512.89,8.24,4.21,636.73,0.00,0.00,274.36,232.75,28.10,15.82,1.20,424032.89,613.02,2365.91,354094.95,467.96,0.00,49841624.92,752938.68,308774.82,70852966.63,0.00,0.00,21560633.05,7783915.93
2023-06-01,0.00,570.55,7.95,0.53,853.46,0.00,0.00,187.57,193.35,20.50,11.59,-0.50,469790.89,591.61,475.42,480402.47,524.57,0.00,77678283.36,1035344.41,194794.93,133156051.68,0.00,0.00,21778376.75,9062886.98
2023-07-01,0.00,603.56,7.71,0.01,737.08,0.00,0.00,249.08,215.41,21.30,13.27,3.30,507013.69,572.77,3.74,428522.78,516.38,0.00,64133159.64,796869.78,565.96,88921241.67,0.00,0.00,22238244.15,8100949.76
2023-08-01,0.00,502.73,7.62,0.01,773.79,0.00,0.00,214.39,285.79,29.90,13.65,3.10,438319.15,566.49,8.18,435973.35,490.31,0.00,52450725.82,741059.52,1003.78,83491847.57,0.00,0.00,19298668.67,11200732.51
2023-09-01,-0.21,349.25,6.94,0.00,624.77,0.18,0.00,231.14,315.08,34.90,16.31,5.60,286192.36,514.49,5.19,352266.54,418.41,2748.45,25365479.12,453342.27,130.92,49988690.96,3219.65,0.00,14928360.38,5545967.06
2023-10-01,-1.76,481.08,6.93,0.25,421.47,1.31,0.00,298.35,430.31,36.30,19.07,5.40,411436.89,518.24,288.20,278306.68,421.60,85699.37,45892511.45,547754.05,68488.21,49252050.14,181317.46,0.00,24960318.68,7279449.26
2023-11-01,0.00,764.03,9.87,0.68,669.72,0.00,0.00,423.05,441.65,39.00,23.55,12.30,658788.44,733.79,690.83,419314.65,467.53,0.00,97746879.13,1117924.06,288008.82,107095182.46,0.00,0.00,42083855.85,16228619.58
2023-12-01,-4.13,548.22,7.36,0.28,483.42,3.43,0.00,357.29,495.92,37.80,24.40,13.00,452075.71,546.08,396.24,307852.04,402.20,53754.68,49544432.18,549750.24,170338.02,55347787.62,525150.81,0.00,29045290.81,15970095.18
2024-01-01,-7.64,639.96,6.46,7.58,553.67,6.36,0.00,327.13,501.08,42.70,25.78,12.90,529849.99,487.45,4513.53,340098.21,430.03,258282.26,62060474.40,506428.09,625181.79,68172731.83,1320350.26,0.00,26476844.17,22085400.22
2024-02-01,-8.08,645.44,5.98,1.31,670.33,6.77,0.00,328.04,429.45,43.50,27.02,13.90,540531.12,449.23,1201.66,401547.24,453.88,377096.41,63378403.96,449739.51,322732.09,74889580.40,1089272.86,0.00,22132473.33,24144877.16
2024-03-01,-9.83,517.22,6.19,0.78,511.01,8.32,0.00,383.92,418.12,36.30,23.42,8.90,428520.76,469.21,803.95,319422.26,408.13,398670.83,52476518.11,505549.14,283764.84,60991045.76,1606525.45,0.00,31757348.70,18425024.90
2024-04-01,-9.71,443.06,6.09,0.50,494.26,8.34,0.00,352.88,349.24,36.80,21.00,7.90,361604.14,460.06,562.54,307884.88,407.69,345678.89,42084075.48,462729.32,196241.99,53319148.63,1498993.67,0.00,23297739.37,16306626.97
2024-05-01,-9.48,544.98,6.67,0.46,592.44,8.08,0.00,261.70,257.29,29.40,18.42,6.30,450101.43,498.82,485.08,352529.94,483.48,309978.93,55341182.83,596128.95,104770.51,71982632.96,1619847.65,0.00,16708145.96,11674605.37
2024-06-01,-4.92,628.53,5.84,0.74,624.96,4.10,0.00,218.13,213.71,26.00,14.51,2.40,521639.62,435.95,674.88,386332.87,537.57,158977.21,55648583.23,418780.13,116248.99,62280051.11,547146.44,0.00,14301320.44,3898049.59
2024-07-01,-3.89,539.93,5.48,0.73,692.31,3.27,0.00,309.74,238.17,23.20,14.06,3.10,440905.70,408.13,672.61,408421.84,476.22,265183.75,55444001.71,477017.46,72422.91,81204794.84,335977.91,0.00,23091514.62,8285766.42
2024-08-01,-11.86,580.29,5.33,0.87,595.20,10.35,0.00,282.04,282.99,26.00,14.89,3.40,475535.91,397.53,806.08,358368.49,478.51,839482.18,65271261.81,528223.21,125700.81,80890324.75,1354055.65,0.00,22548210.28,8539323.55
2024-09-01,-18.44,412.05,5.52,1.00,511.36,16.07,0.00,297.42,403.68,28.70,15.66,5.70,328057.21,413.29,935.16,318720.45,397.95,-61109.16,35222888.45,320243.72,150919.18,51814933.56,1424141.57,0.00,22667801.55,-1468914.47
2024-10-01,-27.72,416.24,6.13,1.14,532.87,23.92,0.00,263.17,467.91,35.50,18.00,6.10,338917.20,457.80,1067.67,348852.91,409.40,-130073.02,46822628.84,541554.39,187043.28,67445756.07,4728776.46,0.00,28919010.90,5370863.95
2024-11-01,-25.12,321.83,5.77,1.23,518.78,21.55,0.00,312.91,468.11,36.70,20.50,7.40,269361.64,430.59,1149.43,324646.53,366.50,461891.00,28333592.44,417878.09,206220.34,56547955.08,2256558.68,0.00,27044370.64,7630344.78
2024-12-01,-37.15,526.38,7.00,1.29,540.00,32.22,0.00,373.40,556.43,43.20,24.58,8.00,428569.82,519.66,1194.25,317857.15,374.15,2095721.94,52809340.42,605822.04,175481.24,63603863.20,3878710.18,0.00,29891807.62,42587334.18
2025-01-01,-33.03,643.80,6.99,1.50,627.91,28.02,0.00,348.91,542.83,44.10,26.28,11.60,531011.27,518.57,1378.65,371616.23,417.42,2409644.36,66590705.18,652074.63,179686.81,74434674.85,3605311.66,0.00,31270269.52,42282160.99
2025-02-01,-34.52,559.89,5.79,1.13,498.48,28.42,0.00,315.88,471.07,40.50,24.57,12.10,463348.58,471.83,1082.19,299893.02,414.27,2334882.01,51750230.36,540154.92,101478.92,51483172.14,3345267.92,0.00,25702007.34,30260866.99
2025-03-01,-23.54,498.21,4.81,0.29,589.67,19.99,0.00,352.70,470.41,41.00,24.26,8.80,405669.99,487.89,256.88,349702.85,395.35,1308648.44,49049599.23,587645.30,59055.05,68177303.91,2730649.75,338.67,29456898.39,32261377.54
2025-04-01,-41.11,544.44,5.73,1.97,434.08,35.60,0.01,307.28,360.41,35.00,20.36,4.70,441567.29,476.86,1168.62,282538.92,440.27,2483816.35,50505909.37,633285.00,169453.37,47221956.20,3983201.96,982.47,25224339.22,23313932.29
2025-05-01,-45.48,554.86,5.10,1.16,525.51,39.39,0.00,313.63,318.04,33.80,17.01,3.60,448930.89,477.43,717.07,311750.15,444.97,3176857.46,51689620.65,591837.54,119980.74,56623183.84,4754202.79,21.72,26094320.52,21411892.65
